Município;Dose;Total Doses Aplicadas
ZACARIAS;UNICA;74
VOTUPORANGA;UNICA;2364
VOTORANTIM;UNICA;3335
VITÓRIA BRASIL;UNICA;37
VISTA ALEGRE DO ALTO;UNICA;265
VIRADOURO;UNICA;486
VINHEDO;UNICA;2363
VERA CRUZ;UNICA;197
VÁRZEA PAULISTA;UNICA;4027
VARGEM GRANDE PAULISTA;UNICA;1429
VARGEM GRANDE DO SUL;UNICA;1024
VARGEM;UNICA;261
VALPARAÍSO;UNICA;627
VALINHOS;UNICA;3567
VALENTIM GENTIL;UNICA;436
URUPÊS;UNICA;369
URU;UNICA;31
URÂNIA;UNICA;240
UNIÃO PAULISTA;UNICA;38
UCHOA;UNICA;242
UBIRAJARA;UNICA;110
UBATUBA;UNICA;2317
UBARANA;UNICA;169
TURMALINA;UNICA;26
TURIÚBA;UNICA;39
TUPI PAULISTA;UNICA;374
TUPÃ;UNICA;1421
TUIUTI;UNICA;189
TRÊS FRONTEIRAS;UNICA;139
TREMEMBÉ;UNICA;1278
TRABIJU;UNICA;35
TORRINHA;UNICA;265
TORRE DE PEDRA;UNICA;59
TIMBURI;UNICA;46
TIETÊ;UNICA;1140
TERRA ROXA;UNICA;252
TEODORO SAMPAIO;UNICA;680
TEJUPÁ;UNICA;97
TAUBATÉ;UNICA;8828
TATUÍ;UNICA;3170
TARUMÃ;UNICA;418
TARABAI;UNICA;210
TAQUARIVAÍ;UNICA;136
TAQUARITUBA;UNICA;510
TAQUARITINGA;UNICA;1341
TAQUARAL;UNICA;59
TAPIRATIBA;UNICA;296
TAPIRAÍ;UNICA;155
TANABI;UNICA;634
TAMBAÚ;UNICA;584
TAIÚVA;UNICA;238
TAIAÇU;UNICA;155
TAGUAÍ;UNICA;353
TACIBA;UNICA;195
TABOÃO DA SERRA;UNICA;7907
TABATINGA;UNICA;567
TABAPUÃ;UNICA;274
SUZANO;UNICA;7736
SUZANÁPOLIS;UNICA;77
SUMARÉ;UNICA;8855
SUD MENNUCCI;UNICA;198
SOROCABA;UNICA;19537
SOCORRO;UNICA;999
SILVEIRAS;UNICA;169
SEVERÍNIA;UNICA;525
SETE BARRAS;UNICA;265
SERTÃOZINHO;UNICA;3612
SERRA NEGRA;UNICA;638
SERRA AZUL;UNICA;214
SEBASTIANÓPOLIS DO SUL;UNICA;87
SARUTAIÁ;UNICA;66
SARAPUÍ;UNICA;266
SÃO VICENTE;UNICA;7790
SÃO SIMÃO;UNICA;373
SÃO SEBASTIÃO DA GRAMA;UNICA;299
SÃO SEBASTIÃO;UNICA;2439
SÃO ROQUE;UNICA;2148
SÃO PEDRO DO TURVO;UNICA;168
SÃO PEDRO;UNICA;811
SÃO PAULO;UNICA;354510
SÃO MIGUEL ARCANJO;UNICA;892
SÃO MANUEL;UNICA;1044
SÃO LUIZ DO PARAITINGA;UNICA;245
SÃO LOURENÇO DA SERRA;UNICA;393
SÃO JOSÉ DOS CAMPOS;UNICA;17907
SÃO JOSÉ DO RIO PRETO;UNICA;13471
SÃO JOSÉ DO RIO PARDO;UNICA;1279
SÃO JOSÉ DO BARREIRO;UNICA;88
SÃO JOSÉ DA BELA VISTA;UNICA;231
SÃO JOAQUIM DA BARRA;UNICA;1443
SÃO JOÃO DO PAU D'ALHO;UNICA;30
SÃO JOÃO DE IRACEMA;UNICA;36
SÃO JOÃO DAS DUAS PONTES;UNICA;62
SÃO JOÃO DA BOA VISTA;UNICA;2170
SÃO FRANCISCO;UNICA;44
SÃO CARLOS;UNICA;7656
SÃO CAETANO DO SUL;UNICA;5004
SÃO BERNARDO DO CAMPO;UNICA;22522
SÃO BENTO DO SAPUCAÍ;UNICA;256
SANTOS;UNICA;8194
SANTÓPOLIS DO AGUAPEÍ;UNICA;164
SANTO EXPEDITO;UNICA;62
SANTO ANTÔNIO DO PINHAL;UNICA;148
SANTO ANTÔNIO DO JARDIM;UNICA;197
SANTO ANTÔNIO DO ARACANGUÁ;UNICA;243
SANTO ANTÔNIO DE POSSE;UNICA;657
SANTO ANTÔNIO DA ALEGRIA;UNICA;161
SANTO ANDRÉ;UNICA;18456
SANTO ANASTÁCIO;UNICA;521
SANTANA DE PARNAÍBA;UNICA;3941
SANTANA DA PONTE PENSA;UNICA;42
SANTA SALETE;UNICA;31
SANTA ROSA DE VITERBO;UNICA;691
SANTA RITA DO PASSA QUATRO;UNICA;554
SANTA RITA D'OESTE;UNICA;58
SANTA MERCEDES;UNICA;60
SANTA MARIA DA SERRA;UNICA;180
SANTA LÚCIA;UNICA;248
SANTA ISABEL;UNICA;1296
SANTA GERTRUDES;UNICA;756
SANTA FÉ DO SUL;UNICA;727
SANTA ERNESTINA;UNICA;166
SANTA CRUZ DO RIO PARDO;UNICA;1014
SANTA CRUZ DAS PALMEIRAS;UNICA;1021
SANTA CRUZ DA ESPERANÇA;UNICA;45
SANTA CRUZ DA CONCEIÇÃO;UNICA;113
SANTA CLARA D'OESTE;UNICA;34
SANTA BRANCA;UNICA;357
SANTA BÁRBARA D'OESTE;UNICA;5519
SANTA ALBERTINA;UNICA;135
SANTA ADÉLIA;UNICA;428
SANDOVALINA;UNICA;83
SALTO GRANDE;UNICA;226
SALTO DE PIRAPORA;UNICA;1351
SALTO;UNICA;3314
SALTINHO;UNICA;271
SALMOURÃO;UNICA;133
SALESÓPOLIS;UNICA;469
SALES OLIVEIRA;UNICA;292
SALES;UNICA;147
SAGRES;UNICA;45
SABINO;UNICA;137
RUBINÉIA;UNICA;64
RUBIÁCEA;UNICA;50
ROSEIRA;UNICA;339
ROSANA;UNICA;408
RIVERSUL;UNICA;117
RIOLÂNDIA;UNICA;272
RIO GRANDE DA SERRA;UNICA;1521
RIO DAS PEDRAS;UNICA;987
RIO CLARO;UNICA;5181
RINÓPOLIS;UNICA;272
RINCÃO;UNICA;308
RIFAINA;UNICA;94
RIBEIRÃO PRETO;UNICA;20776
RIBEIRÃO PIRES;UNICA;3375
RIBEIRÃO GRANDE;UNICA;179
RIBEIRÃO DOS ÍNDIOS;UNICA;44
RIBEIRÃO DO SUL;UNICA;83
RIBEIRÃO CORRENTE;UNICA;143
RIBEIRÃO BRANCO;UNICA;409
RIBEIRÃO BONITO;UNICA;322
RIBEIRA;UNICA;61
RESTINGA;UNICA;174
REGISTRO;UNICA;1157
REGINÓPOLIS;UNICA;81
REGENTE FEIJÓ;UNICA;482
REDENÇÃO DA SERRA;UNICA;86
RANCHARIA;UNICA;727
RAFARD;UNICA;254
QUINTANA;UNICA;152
QUELUZ;UNICA;302
QUEIROZ;UNICA;86
QUATÁ;UNICA;346
QUADRA;UNICA;132
PROMISSÃO;UNICA;1068
PRESIDENTE VENCESLAU;UNICA;968
PRESIDENTE PRUDENTE;UNICA;5313
PRESIDENTE EPITÁCIO;UNICA;933
PRESIDENTE BERNARDES;UNICA;244
PRESIDENTE ALVES;UNICA;104
PRATÂNIA;UNICA;129
PRAIA GRANDE;UNICA;8330
PRADÓPOLIS;UNICA;689
PRACINHA;UNICA;11
POTIRENDABA;UNICA;509
POTIM;UNICA;548
PORTO FERREIRA;UNICA;1417
PORTO FELIZ;UNICA;1411
PORANGABA;UNICA;227
POPULINA;UNICA;86
PONTES GESTAL;UNICA;62
PONTALINDA;UNICA;111
PONTAL;UNICA;1666
PONGAÍ;UNICA;83
POMPÉIA;UNICA;554
POLONI;UNICA;202
POÁ;UNICA;3004
PLATINA;UNICA;77
PLANALTO;UNICA;138
PITANGUEIRAS;UNICA;1182
PIRATININGA;UNICA;345
PIRASSUNUNGA;UNICA;1727
PIRAPOZINHO;UNICA;577
PIRAPORA DO BOM JESUS;UNICA;456
PIRANGI;UNICA;284
PIRAJUÍ;UNICA;589
PIRAJU;UNICA;580
PIRACICABA;UNICA;11161
PIRACAIA;UNICA;757
PIQUETE;UNICA;353
PIQUEROBI;UNICA;56
PINHALZINHO;UNICA;404
PINDORAMA;UNICA;429
PINDAMONHANGABA;UNICA;4568
PILAR DO SUL;UNICA;728
PIEDADE;UNICA;1595
PIACATU;UNICA;140
PERUÍBE;UNICA;1408
PEREIRAS;UNICA;220
PEREIRA BARRETO;UNICA;585
PENÁPOLIS;UNICA;1345
PEDRO DE TOLEDO;UNICA;208
PEDRINHAS PAULISTA;UNICA;56
PEDREIRA;UNICA;1408
PEDREGULHO;UNICA;400
PEDRANÓPOLIS;UNICA;58
PEDRA BELA;UNICA;168
PEDERNEIRAS;UNICA;1240
PAULO DE FARIA;UNICA;201
PAULISTÂNIA;UNICA;53
PAULÍNIA;UNICA;3253
PAULICÉIA;UNICA;226
PATROCÍNIO PAULISTA;UNICA;332
PARISI;UNICA;45
PARIQUERA-AÇU;UNICA;388
PARDINHO;UNICA;166
PARAPUÃ;UNICA;243
PARANAPUÃ;UNICA;91
PARANAPANEMA;UNICA;541
PARAÍSO;UNICA;175
PARAIBUNA;UNICA;424
PARAGUAÇU PAULISTA;UNICA;1069
PANORAMA;UNICA;275
PALMITAL;UNICA;478
PALMEIRA D'OESTE;UNICA;203
PALMARES PAULISTA;UNICA;465
PALESTINA;UNICA;351
PACAEMBU;UNICA;298
OUROESTE;UNICA;275
OURO VERDE;UNICA;181
OURINHOS;UNICA;2258
OSVALDO CRUZ;UNICA;739
OSCAR BRESSANE;UNICA;49
OSASCO;UNICA;19986
ORLÂNDIA;UNICA;1254
ORINDIÚVA;UNICA;197
ORIENTE;UNICA;168
ONDA VERDE;UNICA;105
OLÍMPIA;UNICA;1480
ÓLEO;UNICA;58
OCAUÇU;UNICA;105
NUPORANGA;UNICA;180
NOVO HORIZONTE;UNICA;1051
NOVAIS;UNICA;146
NOVA ODESSA;UNICA;1784
NOVA LUZITÂNIA;UNICA;130
NOVA INDEPENDÊNCIA;UNICA;96
NOVA GUATAPORANGA;UNICA;35
NOVA GRANADA;UNICA;567
NOVA EUROPA;UNICA;304
NOVA CASTILHO;UNICA;20
NOVA CANAÃ PAULISTA;UNICA;25
NOVA CAMPINA;UNICA;227
NOVA ALIANÇA;UNICA;167
NIPOÃ;UNICA;168
NHANDEARA;UNICA;249
NEVES PAULISTA;UNICA;231
NAZARÉ PAULISTA;UNICA;482
NATIVIDADE DA SERRA;UNICA;148
NARANDIBA;UNICA;128
NANTES;UNICA;61
MURUTINGA DO SUL;UNICA;95
MOTUCA;UNICA;125
MORUNGABA;UNICA;402
MORRO AGUDO;UNICA;912
MONTEIRO LOBATO;UNICA;94
MONTE MOR;UNICA;1866
MONTE CASTELO;UNICA;115
MONTE AZUL PAULISTA;UNICA;352
MONTE APRAZÍVEL;UNICA;712
MONTE ALTO;UNICA;1182
MONTE ALEGRE DO SUL;UNICA;193
MONGAGUÁ;UNICA;1229
MONÇÕES;UNICA;53
MOMBUCA;UNICA;73
MOGI MIRIM;UNICA;2495
MOGI GUAÇU;UNICA;4180
MOGI DAS CRUZES;UNICA;10968
MOCOCA;UNICA;1739
MIRASSOLÂNDIA;UNICA;124
MIRASSOL;UNICA;1720
MIRANTE DO PARANAPANEMA;UNICA;413
MIRANDÓPOLIS;UNICA;553
MIRACATU;UNICA;425
MIRA ESTRELA;UNICA;68
MINEIROS DO TIETÊ;UNICA;317
MIGUELÓPOLIS;UNICA;642
MESÓPOLIS;UNICA;39
MERIDIANO;UNICA;97
MENDONÇA;UNICA;120
MAUÁ;UNICA;13188
MATÃO;UNICA;2278
MARTINÓPOLIS;UNICA;565
MARINÓPOLIS;UNICA;42
MARÍLIA;UNICA;4617
MARIÁPOLIS;UNICA;112
MARAPOAMA;UNICA;74
MARACAÍ;UNICA;293
MARABÁ PAULISTA;UNICA;63
MANDURI;UNICA;250
MAIRIPORÃ;UNICA;2541
MAIRINQUE;UNICA;1251
MAGDA;UNICA;70
MACEDÔNIA;UNICA;80
MACAUBAL;UNICA;212
MACATUBA;UNICA;479
LUTÉCIA;UNICA;56
LUPÉRCIO;UNICA;109
LUIZIÂNIA;UNICA;121
LUÍS ANTÔNIO;UNICA;439
LUCIANÓPOLIS;UNICA;48
LUCÉLIA;UNICA;599
LOUVEIRA;UNICA;1778
LOURDES;UNICA;47
LORENA;UNICA;2169
LINS;UNICA;1823
LINDÓIA;UNICA;226
LIMEIRA;UNICA;8703
LENÇÓIS PAULISTA;UNICA;1897
LEME;UNICA;2745
LAVRINHAS;UNICA;188
LAVÍNIA;UNICA;129
LARANJAL PAULISTA;UNICA;651
LAGOINHA;UNICA;91
JUQUITIBA;UNICA;751
JUQUIÁ;UNICA;408
JUNQUEIRÓPOLIS;UNICA;455
JUNDIAÍ;UNICA;12531
JUMIRIM;UNICA;101
JÚLIO MESQUITA;UNICA;122
JOSÉ BONIFÁCIO;UNICA;1032
JOÃO RAMALHO;UNICA;120
JOANÓPOLIS;UNICA;392
JERIQUARA;UNICA;76
JAÚ;UNICA;3882
JARINU;UNICA;888
JARDINÓPOLIS;UNICA;1200
JANDIRA;UNICA;3609
JAMBEIRO;UNICA;190
JALES;UNICA;989
JAGUARIÚNA;UNICA;1674
JACUPIRANGA;UNICA;398
JACI;UNICA;189
JACAREÍ;UNICA;5919
JABOTICABAL;UNICA;1804
JABORANDI;UNICA;175
ITUVERAVA;UNICA;1092
ITUPEVA;UNICA;1928
ITU;UNICA;5244
ITOBI;UNICA;207
ITIRAPUÃ;UNICA;164
ITIRAPINA;UNICA;408
ITATINGA;UNICA;547
ITATIBA;UNICA;3485
ITARIRI;UNICA;414
ITARARÉ;UNICA;1176
ITAQUAQUECETUBA;UNICA;10193
ITAPURA;UNICA;76
ITAPUÍ;UNICA;396
ITAPORANGA;UNICA;320
ITÁPOLIS;UNICA;1085
ITAPIRAPUÃ PAULISTA;UNICA;89
ITAPIRA;UNICA;1891
ITAPEVI;UNICA;7012
ITAPEVA;UNICA;2133
ITAPETININGA;UNICA;3038
ITAPECERICA DA SERRA;UNICA;4299
ITAOCA;UNICA;54
ITANHAÉM;UNICA;2523
ITAJU;UNICA;102
ITAJOBI;UNICA;361
ITAÍ;UNICA;721
ITABERÁ;UNICA;371
IRAPURU;UNICA;81
IRAPUÃ;UNICA;230
IRACEMÁPOLIS;UNICA;722
IPUÃ;UNICA;447
IPORANGA;UNICA;32
IPIGUÁ;UNICA;120
IPEÚNA;UNICA;187
IPERÓ;UNICA;1033
IPAUSSU;UNICA;388
INÚBIA PAULISTA;UNICA;92
INDIAPORÃ;UNICA;86
INDIANA;UNICA;114
INDAIATUBA;UNICA;7037
ILHABELA;UNICA;878
ILHA SOLTEIRA;UNICA;518
ILHA COMPRIDA;UNICA;202
IGUAPE;UNICA;607
IGARATÁ;UNICA;245
IGARAPAVA;UNICA;793
IGARAÇU DO TIETÊ;UNICA;761
IEPÊ;UNICA;186
ICÉM;UNICA;238
IBIÚNA;UNICA;2174
IBITINGA;UNICA;1731
IBIRAREMA;UNICA;165
IBIRÁ;UNICA;343
IBATÉ;UNICA;1032
IARAS;UNICA;209
IACRI;UNICA;146
IACANGA;UNICA;387
HORTOLÂNDIA;UNICA;7449
HOLAMBRA;UNICA;416
HERCULÂNDIA;UNICA;234
GUZOLÂNDIA;UNICA;115
GUATAPARÁ;UNICA;226
GUARULHOS;UNICA;40458
GUARUJÁ;UNICA;8697
GUARIBA;UNICA;1185
GUAREÍ;UNICA;438
GUARATINGUETÁ;UNICA;3203
GUARAREMA;UNICA;872
GUARARAPES;UNICA;838
GUARANTÃ;UNICA;190
GUARANI D'OESTE;UNICA;31
GUARACI;UNICA;318
GUARAÇAÍ;UNICA;197
GUARÁ;UNICA;508
GUAPIARA;UNICA;397
GUAPIAÇU;UNICA;599
GUAÍRA;UNICA;1067
GUAIMBÊ;UNICA;133
GUAIÇARA;UNICA;345
GLICÉRIO;UNICA;130
GETULINA;UNICA;268
GENERAL SALGADO;UNICA;247
GAVIÃO PEIXOTO;UNICA;143
GASTÃO VIDIGAL;UNICA;151
GARÇA;UNICA;1020
GÁLIA;UNICA;146
GABRIEL MONTEIRO;UNICA;64
FRANCO DA ROCHA;UNICA;7330
FRANCISCO MORATO;UNICA;4594
FRANCA;UNICA;9086
FLORÍNEA;UNICA;36
FLÓRIDA PAULISTA;UNICA;298
FLOREAL;UNICA;50
FLORA RICA;UNICA;19
FERRAZ DE VASCONCELOS;UNICA;5397
FERNÃO;UNICA;34
FERNANDÓPOLIS;UNICA;1527
FERNANDO PRESTES;UNICA;134
FARTURA;UNICA;399
EUCLIDES DA CUNHA PAULISTA;UNICA;213
